test_name,mapName,inference,observe,elapse,maxMoves,numGhosts,L2Tolerance,win,score,execution_time,l2_error,kl_divergence
customTestParticles1,walls,ParticleFilter,True,True,100,1,0.0001,True,191.0,2.4390001297,0.0208428770037,0.158027574439
customTestParticles2,walls,ParticleFilter,True,False,100,1,0.0001,True,191.0,1.12800002098,0.0163476018471,0.172167889573
customTestParticles3,walls,ParticleFilter,False,True,100,1,0.0001,True,191.0,1.16499996185,0.00162409215916,0.0481575843379
customTestParticles4,walls,ParticleFilter,False,False,100,1,0.0001,True,191.0,0.069000005722,4.92203389831e-06,0.000145481513694
customTestParticles5,empty,ParticleFilter,True,True,100,1,0.0001,False,-100.0,22.0329999924,0.0707194538594,1.12894124501
customTestParticles6,empty,ParticleFilter,True,False,100,1,0.0001,False,-100.0,3.45800018311,107.920753223,509.953290463
customTestParticles7,empty,ParticleFilter,False,True,100,1,0.0001,False,-100.0,10.111000061,0.0191716240041,0.691122175502
customTestParticles8,empty,ParticleFilter,False,False,100,1,0.0001,False,-100.0,0.388999938965,7.25333333333e-05,0.00260982328742
customTestParticles9,walls,ParticleFilter,True,True,100,2,0.0001,True,302.0,28.2849998474,0.204141168828,1.56525226314
customTestParticles10,walls,ParticleFilter,True,False,100,2,0.0001,True,302.0,5.84800004959,27.9447074003,329.524487187
customTestParticles11,walls,ParticleFilter,False,True,100,2,0.0001,True,302.0,18.1819999218,0.0367428462613,1.08074569021
customTestParticles12,walls,ParticleFilter,False,False,100,2,0.0001,True,302.0,0.674000024796,8.94915254237e-05,0.0026451184308
customTestParticles13,empty,ParticleFilter,True,True,100,2,0.0001,False,100.0,31.868999958,0.0781447190885,1.2290867257
customTestParticles14,empty,ParticleFilter,True,False,100,2,0.0001,False,100.0,7.27600002289,7.74277286916,874.312549589
customTestParticles15,empty,ParticleFilter,False,True,100,2,0.0001,False,100.0,20.6500000954,0.0391814239839,1.41102471076
customTestParticles16,empty,ParticleFilter,False,False,100,2,0.0001,False,100.0,0.711000204086,0.000145066666667,0.00521964657483
customTestParticles17,walls,ParticleFilter,True,True,100,3,0.0001,False,100.0,44.4149999619,0.138866211857,1.94628545623
customTestParticles18,walls,ParticleFilter,True,False,100,3,0.0001,False,100.0,10.4480001926,217.954060939,2249.84768864
customTestParticles19,walls,ParticleFilter,False,True,100,3,0.0001,False,100.0,29.496999979,0.0591365014254,1.74813657346
customTestParticles20,walls,ParticleFilter,False,False,100,3,0.0001,False,100.0,2.10500001907,0.000136922033898,0.00404703119913
customTestParticles21,empty,ParticleFilter,True,True,100,3,0.0001,False,-100.0,63.7460000515,0.205367197889,2.8081343842
customTestParticles22,empty,ParticleFilter,True,False,100,3,0.0001,False,-100.0,18.0650000572,168.640025116,4032.26973464
customTestParticles23,empty,ParticleFilter,False,True,100,3,0.0001,False,-100.0,29.760999918,0.0593421261912,2.1419092255
customTestParticles24,empty,ParticleFilter,False,False,100,3,0.0001,False,-100.0,1.12800002098,0.0002176,0.00782946986225
customTestParticles25,walls,ParticleFilter,True,True,100,4,0.0001,False,100.0,66.4379999638,0.269070377813,3.15976732332
customTestParticles26,walls,ParticleFilter,True,False,100,4,0.0001,False,100.0,15.0360000134,170.052611832,1536.37998529
customTestParticles27,walls,ParticleFilter,False,True,100,4,0.0001,False,100.0,38.4820001125,0.0768977888366,2.27247458705
customTestParticles28,walls,ParticleFilter,False,False,100,4,0.0001,False,100.0,1.45499992371,0.000182562711864,0.00539604159884
customTestParticles29,empty,ParticleFilter,True,True,100,4,0.0001,False,100.0,74.8289999962,0.207859675503,2.49567972382
customTestParticles30,empty,ParticleFilter,True,False,100,4,0.0001,False,100.0,16.0529999733,184.016641583,1723.07458519
